Portfolio,Agency,Account,Type,Opening Balance ($'000),Receipts (Non Appropriated) ($'000),Receipts (Appropriated) ($'000),Payments ($'000),Adjustments ($'000),Closing Balance ($'000)
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Agriculture Future Drought Resilience Special Account,Agency Resourcing 2024-2025,13286,100000,0,-57914,0,55372
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Agriculture Future Drought Resilience Special Account,Estimated Actual 2023-2024,70573,100323,0,-157610,0,13286
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Biosecurity, Imported Food and Export Certification Special Account 2020",Agency Resourcing 2024-2025,9165,553642,92413,-646055,0,9165
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Biosecurity, Imported Food and Export Certification Special Account 2020",Estimated Actual 2023-2024,9165,506620,92124,-598744,0,9165
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Cattle Disease Eradication Account,Agency Resourcing 2024-2025,0,0,0,0,0,0
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Cattle Disease Eradication Account,Estimated Actual 2023-2024,15,0,0,-15,0,0
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Residue Survey Account,Agency Resourcing 2024-2025,2661,28071,0,-28071,0,2661
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Residue Survey Account,Estimated Actual 2023-2024,2661,29197,0,-29197,0,2661
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,"Total: Department of Agriculture, Fisheries and Forestry",Agency Resourcing 2024-2025,25112,681713,92413,-732040,0,67198
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,"Total: Department of Agriculture, Fisheries and Forestry",Estimated Actual 2023-2024,82414,636140,92124,-785566,0,25112
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",Australian Fisheries Management Authority,AFMA Special Account,Agency Resourcing 2024-2025,11614,19667,27741,-47708,0,11314
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",Australian Fisheries Management Authority,AFMA Special Account,Estimated Actual 2023-2024,13010,18146,26910,-46452,0,11614
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,Total: Australian Fisheries Management Authority,Agency Resourcing 2024-2025,11614,19667,27741,-47708,0,11314
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,Total: Australian Fisheries Management Authority,Estimated Actual 2023-2024,13010,18146,26910,-46452,0,11614
