Portfolio,Agency,Detail,Estimated Actual 2023-2024 ($'000),Budget Estimate 2024-2025 ($'000)
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Agricultural and Veterinary Chemicals (Administration) Act 1992,41794,42164
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Australian Animal Health Council (Live-stock Industries) Funding Act 1996,8324,8479
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Australian Meat and Live-stock Industry Act 1997,244923,237471
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Dairy Produce Act 1986,57650,56650
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Egg Industry Service Provision Act 2002,11905,12191
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Farm Household Support Act 2014,60049,70421
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Forestry Marketing and Research and Development Services Act 2007,14254,14390
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Horticulture Marketing and Research and Development Services Act 2000,123172,124404
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Pig Industry Act 2001,23750,23800
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Plant Health Australia (Plant Industries) Funding Act 2002,9897,8666
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Primary Industries Research and Development Act 1989,441986,344561
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Public Governance, Performance and Accountability Act 2013",3000,3000
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Sugar Research and Development Services Act 2013,29780,30000
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Wine Australia Act 2013,22714,26720
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Wool Services Privatisation Act 2000,68000,84000
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Total: Department of Agriculture, Fisheries and Forestry",1161198,1086917
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,High Court Justices (Long Leave Payments) Act 1979,650,0
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,Law Officers Act 1964,310,310
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,"Public Governance, Performance and Accountability Act 2013",20,20
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,Total: Attorney-General's Department,980,330
ATTORNEY-GENERAL'S PORTFOLIO,Administrative Appeals Tribunal,"Public Governance, Performance and Accountability Act 2013",7500,7500
ATTORNEY-GENERAL'S PORTFOLIO,Administrative Appeals Tribunal,Total: Administrative Appeals Tribunal,7500,7500
ATTORNEY-GENERAL'S PORTFOLIO,Australian Federal Police,"Public Governance, Performance and Accountability Act 2013",50,50
ATTORNEY-GENERAL'S PORTFOLIO,Australian Federal Police,Total: Australian Federal Police,50,50
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Bankruptcy Act 1966,1500,1500
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,"Public Governance, Performance and Accountability Act 2013",1500,1500
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Total: Australian Financial Security Authority,3000,3000
ATTORNEY-GENERAL'S PORTFOLIO,Federal Court of Australia,"Public Governance, Performance and Accountability Act 2013",900,900
ATTORNEY-GENERAL'S PORTFOLIO,Federal Court of Australia,Total: Federal Court of Australia,900,900
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Offshore Electricity Infrastructure Act 2021,0,4472
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water","Public Governance, Performance and Accountability Act 2013",111,111
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water","Total: Department of Climate Change, Energy, the Environment and Water",111,4583
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Clean Energy Regulator,Renewable Energy (Electricity) Act 2000,509,509
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Clean Energy Regulator,Total: Clean Energy Regulator,509,509
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Act 1975,8000,11000
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Great Barrier Reef Marine Park Authority,Total: Great Barrier Reef Marine Park Authority,8000,11000
DEFENCE PORTFOLIO,Department of Defence,Australian Defence Force Cover Act 2015,120000,183189
DEFENCE PORTFOLIO,Department of Defence,Defence Force Retirement and Death Benefits Act 1973,1834852,1917602
DEFENCE PORTFOLIO,Department of Defence,Defence Forces Retirement Benefits Act 1948,40300,27613
DEFENCE PORTFOLIO,Department of Defence,Defence Home Ownership Assistance Scheme Act 2008,220016,236275
DEFENCE PORTFOLIO,Department of Defence,Military Superannuation and Benefits Act 1991,2048270,2325519
DEFENCE PORTFOLIO,Department of Defence,Total: Department of Defence,4263438,4690198
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Australian Participants in British Nuclear Tests and British Commonwealth Occupation Force (Treatment) Act 2006,8918,9346
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Compensation (Japanese Internment) Act 2001,25,25
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Military Rehabilitation and Compensation Act 2004,3481971,3718174
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Papua New Guinea (Members of the Forces Benefits) Act 1957,28,28
DEFENCE PORTFOLIO,Department of Veterans' Affairs,"Public Governance, Performance and Accountability Act 2013",5,5
DEFENCE PORTFOLIO,Department of Veterans' Affairs,"Safety, Rehabilitation and Compensation (Defence-related Claims) Act 1988",587322,567035
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Treatment Benefits (Special Access) Act 2019,1521,1559
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Veterans' Entitlements Act 1986,8413409,8397236
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Total: Department of Veterans' Affairs,12493199,12693408
EDUCATION PORTFOLIO,Department of Education,A New Tax System (Family Assistance) (Administration) Act 1999,13936710,14697263
EDUCATION PORTFOLIO,Department of Education,Australian Education Act 2013,29052049,30072206
EDUCATION PORTFOLIO,Department of Education,Higher Education Support Act 2003,18345561,19691167
EDUCATION PORTFOLIO,Department of Education,Total: Department of Education,61334320,64460636
EDUCATION PORTFOLIO,Australian Research Council,Australian Research Council Act 2001,851414,0
EDUCATION PORTFOLIO,Australian Research Council,Total: Australian Research Council,851414,0
EDUCATION PORTFOLIO,Tertiary Education Quality and Standards Agency,"Public Governance, Performance and Accountability Act 2013",200,200
EDUCATION PORTFOLIO,Tertiary Education Quality and Standards Agency,Total: Tertiary Education Quality and Standards Agency,200,200
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Asbestos-related Claims (Management of Commonwealth Liabilities) Act 2005,27258,26004
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Coal Mining Industry (Long Service Leave) Administration Act 1992,233358,251764
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Fair Entitlements Guarantee Act 2012,278276,309980
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Higher Education Support Act 2003,281,0
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,"Public Governance, Performance and Accountability Act 2013",50,50
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,"Safety, Rehabilitation and Compensation Act 1988",26359,24917
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Trade Support Loans Act 2014,236974,258179
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,VET Student Loans Act 2016,276704,293066
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Total: Department of Employment and Workplace Relations,1079260,1163960
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Australian Skills Quality Authority,"Public Governance, Performance and Accountability Act 2013",357,357
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Australian Skills Quality Authority,Total: Australian Skills Quality Authority,357,357
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Fair Work Commission,"Public Governance, Performance and Accountability Act 2013",500,500
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Fair Work Commission,Total: Fair Work Commission,500,500
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Office of the Fair Work Ombudsman,Fair Work Act 2009,1500,1500
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Office of the Fair Work Ombudsman,Total: Office of the Fair Work Ombudsman,1500,1500
FINANCE PORTFOLIO,Department of Finance,Commonwealth of Australia Constitution Act,5605,5853
FINANCE PORTFOLIO,Department of Finance,Federal Circuit and Family Court of Australia Act 2021,158,283
FINANCE PORTFOLIO,Department of Finance,Governance of Australian Government Superannuation Schemes Act 2011,1000,1000
FINANCE PORTFOLIO,Department of Finance,Governor-General Act 1974,1187,1233
FINANCE PORTFOLIO,Department of Finance,Judges' Pensions Act 1968,63157,66053
FINANCE PORTFOLIO,Department of Finance,Medibank Private Sale Act 2006,50,50
FINANCE PORTFOLIO,Department of Finance,Parliamentary Business Resources Act 2017,270943,289564
FINANCE PORTFOLIO,Department of Finance,Parliamentary Contributory Superannuation Act 1948,47113,47823
FINANCE PORTFOLIO,Department of Finance,Parliamentary Superannuation Act 2004,8925,9255
FINANCE PORTFOLIO,Department of Finance,"Public Governance, Performance and Accountability Act 2013",2032,2038
FINANCE PORTFOLIO,Department of Finance,Same-Sex Relationships (Equal Treatment in Commonwealth Laws - Superannuation) Act 2008,75,77
FINANCE PORTFOLIO,Department of Finance,Superannuation Act 1922,44496,40303
FINANCE PORTFOLIO,Department of Finance,Superannuation Act 1976,4987976,5191523
FINANCE PORTFOLIO,Department of Finance,Superannuation Act 1990,3978838,4212232
FINANCE PORTFOLIO,Department of Finance,Total: Department of Finance,9411555,9867287
FINANCE PORTFOLIO,Australian Electoral Commission,Commonwealth Electoral Act 1918,14900,91616
FINANCE PORTFOLIO,Australian Electoral Commission,Total: Australian Electoral Commission,14900,91616
FINANCE PORTFOLIO,Independent Parliamentary Expenses Authority,Parliamentary Business Resources Act 2017,34510,35234
FINANCE PORTFOLIO,Independent Parliamentary Expenses Authority,Parliamentary Retirement Travel Act 2002,629,641
FINANCE PORTFOLIO,Independent Parliamentary Expenses Authority,Total: Independent Parliamentary Expenses Authority,35139,35875
FOREIGN AFFAIRS AND TRADE PORTFOLIO,Department of Foreign Affairs and Trade,Official Development Assistance Multilateral Replenishment Obligations (Special Appropriation) Act 2020,372116,371733
FOREIGN AFFAIRS AND TRADE PORTFOLIO,Department of Foreign Affairs and Trade,"Public Governance, Performance and Accountability Act 2013",2200,2200
FOREIGN AFFAIRS AND TRADE PORTFOLIO,Department of Foreign Affairs and Trade,Total: Department of Foreign Affairs and Trade,374316,373933
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Aged Care Act 1997,28112185,31625206
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Dental Benefits Act 2008,334383,321889
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Medical Indemnity Act 2002,103764,114764
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Midwife Professional Indemnity (Commonwealth Contribution) Scheme Act 2010,1294,1291
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,National Health Act 1953,2432643,2376871
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Private Health Insurance Act 2007,7045553,7252067
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,"Public Governance, Performance and Accountability Act 2013",2000,2000
HEALTH AND AGED CARE PORTFOLIO,Department of Health and Aged Care,Total: Department of Health and Aged Care,38031822,41694088
